"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"539",12.174081337143,0,"Binance","2","0",52,"Exit Scam"
"540",7.82883452758809,0,"Ethereum","12","5",354,"Exit Scam"
"541",14.7651935118278,0,"Binance","9","1",263,"Exploit"
"542",15.6749286756661,15.6749288314294,"CEX","11","4",333,"Exploit"
"543",13.8155105579643,0,"Ethereum","8","5",233,"Exploit"
"544",16.1180956509583,0,"Binance","1","1",4,"Exit Scam"
"545",13.0104682240992,0,"Ethereum","1","6",17,"Exit Scam"
"546",11.9891596439666,0,"CEX","11","0",315,"Exploit"
"547",11.6574499614029,0,"Binance","10","2",278,"Exploit"
"548",9.73050227671916,0,"Ethereum","12","2",344,"Exit Scam"
"549",13.1804983142904,0,"Ethereum","12","1",355,"Exploit"
"550",11.1666533661749,0,"Ethereum","12","4",360,"Exit Scam"
