logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/613f7260a8bd7.png,AFKSystems Finance,https://afksystem.finance/,POLYGON,,Exit Scam,"$2,017,053 ",10.09.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62ff5f7ea597c.png,Mirror Protocol (2),https://www.mirror.finance/,LUNC,Borrowing and Lending,Oracle Issue,"$2,000,000 ",31.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6283d82baada4.png,Mad Meerkat Finance,https://mm.finance/,CRONOS,Exchange (DEX),Exploit,"$2,000,000 ",04.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6255f90aebcfa.jpeg,Revest,https://revest.finance/,ETH,,Exploit,"$2,000,000 ",27.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/617c0b0d58c74.jpeg,AutoSharkFinance (2),https://autoshark.finance/,BSC,Exchange (DEX),Exploit,"$2,000,000 ",28.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60edfcb4b13be.jpeg,Akropolis,https://www.akropolis.io/,ETH,,Flash Loan Attack,"$2,000,000 ",11.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61702ba1874ff.jpeg,PancakeHunny (2),https://pancakehunny.finance/,BSC,,Exploit,"$1,984,749 ",19.10.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/620be2e8052f7.jpeg,Titano,https://titano.finance/,BSC,,Exploit,"$1,949,111 ",14.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6127990fd17f9.jpeg,Percent Finance,https://percent.finance/,ETH,Borrowing and Lending,Exploit,"$1,900,000 ",04.11.2020
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6241d26817192.jpeg,Ledger (2),https://www.ledger.com/,,,Access control,"$1,800,000 ",23.10.2020
